DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2010-0571-HTI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2010-000216,Hurricane Tomas,HTI,Haiti,Latin America and the Caribbean,Americas,"Port-au-Prince, Leogane districts (Ouest province), Cayes district (Sud province), Jacmel district (Sud Est province), Grande Anse province",,Flood,No,No,No,,130.0,Kph,20.48,-75.88,,2010,11.0,4.0,2010,11.0,5.0,21.0,,5020.0,,5020.0,,,,,,,74.5094440781961,"[{""adm1_code"":72911,""adm1_name"":""Grande Anse""},{""adm2_code"":17197,""adm2_name"":""Leogane""},{""adm2_code"":17198,""adm2_name"":""Port-Au-Prince""},{""adm2_code"":17203,""adm2_name"":""Cayes""},{""adm2_code"":17201,""adm2_name"":""Jacmel""}]",2010-11-26,2023-09-25
2010-0571-LCA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2010-000216,Hurricane Tomas,LCA,Saint Lucia,Latin America and the Caribbean,Americas,"Region Number 1, Region Number 2, Region Number 8 provinces",,"Flood|Slide (land, mud, snow, rock)",Yes,No,Yes,,150.0,Kph,,,,2010,10.0,30.0,2010,10.0,30.0,14.0,,181000.0,,181000.0,,,,,500.0,671.0,74.5094440781961,"[{""adm1_code"":2608,""adm1_name"":""Region Number 1""},{""adm1_code"":2609,""adm1_name"":""Region Number 2""},{""adm1_code"":2615,""adm1_name"":""Region Number 8""}]",2014-07-28,2023-09-25
2010-0571-VCT,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2010-000216,Hurricane Tomas,VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,"Charlotte, Grenadines, Saint Andrew, Saint David, Saint George, Saint Patrick provinces",,,Yes,No,Yes,,,Kph,,,,2010,10.0,29.0,2010,10.0,29.0,,,6000.0,100.0,6100.0,,,,,25000.0,33553.0,74.5094440781961,"[{""adm1_code"":61285,""adm1_name"":""Grenadines""},{""adm1_code"":61286,""adm1_name"":""Charlotte""},{""adm1_code"":61287,""adm1_name"":""Saint Andrew""},{""adm1_code"":61288,""adm1_name"":""Saint David""},{""adm1_code"":61289,""adm1_name"":""Saint George""},{""adm1_code"":61290,""adm1_name"":""Saint Patrick""}]",2014-07-28,2023-09-25
2010-0612-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"Connecticut, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island provinces",,Flood,No,No,No,,,Kph,,,,2010,3.0,13.0,2010,3.0,15.0,11.0,,,,,,,1220000.0,1637376.0,1500000.0,2013168.0,74.5094440781961,"[{""adm1_code"":3220,""adm1_name"":""Connecticut""},{""adm1_code"":3235,""adm1_name"":""Massachusetts""},{""adm1_code"":3243,""adm1_name"":""New Hampshire""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3253,""adm1_name"":""Rhode Island""}]",2011-03-16,2023-09-25
2010-0639-EGY,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,EGY,Egypt,Northern Africa,Africa,"Tanta, Tanta 1, Tanta 2 districts (Gharbia province), Alexandria province",,Transport accident,No,No,No,,,Kph,,,,2010,12.0,12.0,2010,12.0,12.0,31.0,40.0,,,40.0,,,,,,,74.5094440781961,"[{""adm1_code"":61510,""adm1_name"":""Alexandria""},{""adm2_code"":61693,""adm2_name"":""Tanta""},{""adm2_code"":61694,""adm2_name"":""Tanta 1""},{""adm2_code"":61695,""adm2_name"":""Tanta 2""}]",2011-01-04,2023-09-25
2010-0652-BEL,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,BEL,Belgium,Western Europe,Europe,"Region de Bruxelles-Capitale, Vlaams Gewest, Region wallonne provinces",,,No,No,No,,,Kph,,,,2010,12.0,23.0,2010,12.0,24.0,,,,,,,,,,,,74.5094440781961,"[{""adm1_code"":600,""adm1_name"":""Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes""},{""adm1_code"":601,""adm1_name"":""Vlaams Gewest""},{""adm1_code"":602,""adm1_name"":""Region wallonne""}]",2011-01-05,2023-09-25
2010-0652-DEU,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,DEU,Germany,Western Europe,Europe,"Berlin city (Berlin province), Hamburg city (Hamburg province), Düsseldorf city (Düsseldorf district), Gelsenkirchen city (Muenster district) (Nordrhein-Westfalen province), Frankfort city (Darmstadt district, Hessen province)",,,No,No,No,,,Kph,,,,2010,12.0,23.0,2010,12.0,24.0,,,,,,,,,,,,74.5094440781961,"[{""adm1_code"":1310,""adm1_name"":""Berlin""},{""adm1_code"":1313,""adm1_name"":""Hamburg""},{""adm2_code"":16541,""adm2_name"":""Darmstadt""},{""adm2_code"":16551,""adm2_name"":""Duesseldorf""},{""adm2_code"":16553,""adm2_name"":""Muenster""}]",2011-01-05,2023-09-25
2010-0652-DNK,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,DNK,Denmark,Northern Europe,Europe,"Bornholm Island (Bornholm district, Bornholm province)",,,No,No,No,,,Kph,,,,2010,12.0,23.0,2010,12.0,28.0,,,,,,,,,,,,74.5094440781961,"[{""adm2_code"":40855,""adm2_name"":""Bornholm""}]",2011-01-05,2023-09-25
2010-0652-FRA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,FRA,France,Western Europe,Europe,"Oise, Aisne districts (Picardie province), Ardennes, Aube, Marne districts (Champagne-Ardenne province), Loiret district (Centre province), Yonne district (Bourgogne province) (North departments), Aveyron, Lot, Tarn districts (Midi-Pyrenees province), Corrèze, Creuse districts (Limousin province), Pyrénées-Orientales (Languedoc-Rousillon province)",,,No,No,No,,,Kph,,,,2010,12.0,23.0,2010,12.0,24.0,,,,,,,,,,,,74.5094440781961,"[{""adm2_code"":16255,""adm2_name"":""Yonne""},{""adm2_code"":16265,""adm2_name"":""Loiret""},{""adm2_code"":16266,""adm2_name"":""Ardennes""},{""adm2_code"":16267,""adm2_name"":""Aube""},{""adm2_code"":16269,""adm2_name"":""Marne""},{""adm2_code"":16289,""adm2_name"":""Pyrenees-Orientales""},{""adm2_code"":16291,""adm2_name"":""Correze""},{""adm2_code"":16292,""adm2_name"":""Creuse""},{""adm2_code"":16299,""adm2_name"":""Aveyron""},{""adm2_code"":16303,""adm2_name"":""Lot""},{""adm2_code"":16304,""adm2_name"":""Tarn""},{""adm2_code"":16313,""adm2_name"":""Aisne""},{""adm2_code"":16314,""adm2_name"":""Oise""}]",2011-01-05,2023-09-25
2010-0655-CAN,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,CAN,Canada,Northern America,Americas,"New Brunswick, Nova Scotia, Newfoundland and Labrador provinces",,,No,No,No,,,Kph,,,,2010,12.0,26.0,2010,12.0,28.0,,,,,,,,,,,,74.5094440781961,"[{""adm1_code"":828,""adm1_name"":""New Brunswick / Nouveau-Brunswick""},{""adm1_code"":829,""adm1_name"":""Newfoundland and Labrador / Terre-Neuve-et-Labrador""},{""adm1_code"":831,""adm1_name"":""Nova Scotia / Nouvelle-Écosse""}]",2011-01-05,2023-09-25
