DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2015-9575-GMB,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:OT-2015-000021,,GMB,Gambia,Sub-Saharan Africa,Africa,"NO DATA: all country selected: Central River, North Bank (mainly?), Kanifing Municipal Council, Lower River, Upper River, West Coast provinces",,Food shortage,No,No,No,,,Km2,,,,2015,1.0,,2015,12.0,,,,63100.0,,63100.0,,,,,,,80.9885789905908,"[{""adm1_code"":1285,""adm1_name"":""Central River""},{""adm1_code"":1287,""adm1_name"":""Lower River""},{""adm1_code"":1288,""adm1_name"":""North Bank""},{""adm1_code"":1289,""adm1_name"":""Upper River""},{""adm1_code"":1290,""adm1_name"":""West Coast""},{""adm1_code"":112869,""adm1_name"":""Kanifing Municipal Council""}]",2016-01-21,2023-09-25
2015-9616-SOM,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2015-000134,,SOM,Somalia,Sub-Saharan Africa,Africa,"Sanaag, Sool, Togdheer, Woqooyi Galbeed, Awdal provinces (Somaliland region), Bari, Nugaal provinces (Puntland region); Karkaar",El Nino,Food shortage,Yes,No,Yes,,,Km2,,,,2015,8.0,,2017,5.0,,,,6700000.0,,6700000.0,,,,,,,80.9885789905908,"[{""adm1_code"":2688,""adm1_name"":""Awdal""},{""adm1_code"":2690,""adm1_name"":""Bari""},{""adm1_code"":2701,""adm1_name"":""Nugaal""},{""adm1_code"":2702,""adm1_name"":""Sanaag""},{""adm1_code"":2703,""adm1_name"":""Sool""},{""adm1_code"":2704,""adm1_name"":""Togdheer""},{""adm1_code"":2705,""adm1_name"":""Woqooyi Galbeed""}]",2016-03-15,2023-09-25
2015-9617-VNM,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2015-000180,,VNM,Viet Nam,South-eastern Asia,Asia,"An Giang, Ba Ria-Vung Tau, Ben Tre, Binh Dinh, Binh Duong, Binh Phuoc, Binh Thuan, Can Tho city, Dak Lak, Dak Nong, Dong Nai, Dong Thap, Gia Lai, Hau Giang, Ho Chi Minh City, Khanh Hoa, Kon Tum, Lam Dong, Long An, Ninh Thuan, Phu Yen, Quang Nam, Quang Ngai, Soc Trang, Tay Ninh, Tien Giang, Tra Vinh, Vinh Long provinces","Lack of rainfall, El NIno",,Yes,No,No,,,Km2,,,,2015,12.0,,2017,2.0,,,,1750000.0,,1750000.0,,,,,6750000.0,8334508.0,80.9885789905908,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3327,""adm1_name"":""Ba Ria-Vung Tau""},{""adm1_code"":3332,""adm1_name"":""Ben Tre""},{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3334,""adm1_name"":""Binh Duong""},{""adm1_code"":3335,""adm1_name"":""Binh Phuoc""},{""adm1_code"":3336,""adm1_name"":""Binh Thuan""},{""adm1_code"":3342,""adm1_name"":""Dong Nai""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm1_code"":3344,""adm1_name"":""Gia Lai""},{""adm1_code"":3352,""adm1_name"":""Ho Chi Minh City""},{""adm1_code"":3355,""adm1_name"":""Khanh Hoa""},{""adm1_code"":3357,""adm1_name"":""Kon Tum""},{""adm1_code"":3359,""adm1_name"":""Lam Dong""},{""adm1_code"":3362,""adm1_name"":""Long An""},{""adm1_code"":3368,""adm1_name"":""Ninh Thuan""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3377,""adm1_name"":""Soc Trang""},{""adm1_code"":3379,""adm1_name"":""Tay Ninh""},{""adm1_code"":3384,""adm1_name"":""Tien Giang""},{""adm1_code"":3386,""adm1_name"":""Tra Vinh""},{""adm1_code"":3388,""adm1_name"":""Vinh Long""},{""adm1_code"":73933,""adm1_name"":""Can Tho city""},{""adm1_code"":73934,""adm1_name"":""Dak Lak""},{""adm1_code"":73935,""adm1_name"":""Dak Nong""},{""adm1_code"":73937,""adm1_name"":""Hau Giang""}]",2016-03-15,2023-09-25
2015-9618-IND,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,"Tamil Nadu, Rajasthan, Jharkhand, Assam, Andhra Pradesh, Himachal Pradesh, Nagaland; Maharashtra, Bihar, Madhya Pradesh, Chhattisgarh, Telangana, Jharkand, Odisha states",Erratic rainfall,,No,No,No,,,Km2,,,,2015,1.0,,2016,12.0,,,,330000000.0,,330000000.0,,,400000.0,493897.0,3000000.0,3704226.0,80.9885789905908,,2016-04-11,2023-09-25
2015-9621-PLW,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,PLW,Palau,Micronesia,Oceania,,"Poor rainfall, El Nino",,Yes,No,No,,,Km2,,,,2015,10.0,,2016,3.0,,,,14200.0,,14200.0,,,,,,,80.9885789905908,,2021-08-04,2023-09-25
2016-9020-MDG,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,MDG,Madagascar,Sub-Saharan Africa,Africa,"Ambovombe-Androy, Bekily, Beloha, Tsihombe districts (Androy province), Amboasary-Atsimo, Taolagnaro districts (Anosy province), Ampanihy Ouest, Betioky Atsimo districts (Atsimo Andrefana province)",El Nino,Food shortage,Yes,No,Yes,,,Km2,,,,2016,1.0,,2017,1.0,,,,1140000.0,,1140000.0,,,,,,,82.010330903136,"[{""adm2_code"":154531,""adm2_name"":""Ambovombe-Androy""},{""adm2_code"":154532,""adm2_name"":""Bekily""},{""adm2_code"":154533,""adm2_name"":""Beloha""},{""adm2_code"":154534,""adm2_name"":""Tsihombe""},{""adm2_code"":154535,""adm2_name"":""Amboasary-Atsimo""},{""adm2_code"":154537,""adm2_name"":""Taolagnaro""},{""adm2_code"":154538,""adm2_name"":""Ampanihy Ouest""},{""adm2_code"":154542,""adm2_name"":""Betioky Atsimo""}]",2016-02-03,2023-09-25
2016-9050-LSO,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:OT-2016-000005,,LSO,Lesotho,Sub-Saharan Africa,Africa,"Qacha’s Nek, Mokhotlong, Thaba Tseka, Quthing, Mafeteng, Butha Bothe, Berea, Leribe, Maseru, Mohale's Hoek provinces","Lack of rains, El NIno",Food shortage,Yes,No,No,,,Km2,,,,2016,2.0,,2017,1.0,,,,709000.0,,709000.0,,,,,,,82.010330903136,"[{""adm1_code"":1803,""adm1_name"":""Berea""},{""adm1_code"":1804,""adm1_name"":""Butha Buthe""},{""adm1_code"":1805,""adm1_name"":""Leribe""},{""adm1_code"":1806,""adm1_name"":""Mafeteng""},{""adm1_code"":1807,""adm1_name"":""Maseru""},{""adm1_code"":1808,""adm1_name"":""Mohale's Hoek""},{""adm1_code"":1809,""adm1_name"":""Mokhotlong""},{""adm1_code"":1810,""adm1_name"":""Qacha's Nek""},{""adm1_code"":1811,""adm1_name"":""Quthing""},{""adm1_code"":1812,""adm1_name"":""Thaba Tseka""}]",2016-02-29,2023-09-25
2016-9052-HTI,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,HTI,Haiti,Latin America and the Caribbean,Americas,"Corail, Anse-D'Ainsault, Jeremie districts (Grande Anse province), Chardonnieres, Coteaux, Aquin, Cayes, Port-Salut districts (Sud province), Anse-A-Veau, Baraderes, Miragoane districts (Nippes province), Gonave, Leogane districts (Ouest province), Belle Anse, Jacmel, Bainet districts (Sud Est province), Croix-des-Bouquets district (Ouest province), Lascahobas, Ceca La Source, Hinche, Mirebalais districts (Centre province), Valliere, Ouanaminthe, Trou du Nord, Fort Liberte districts (Nord Est province), Saint-Raphael, Grande Riviere Du Nord, Limbe, Acul Du Nord districts (Nord province), Gonaives, Marmelade, Gros Morne, Saint-Marc districts (Artibonite province), Mole Saint Nicolas, Port De Paix districts (Nord Ouest province)",Lack of rain,Food shortage,No,No,No,,,Km2,,,,2016,1.0,,2017,2.0,,,,3600000.0,,3600000.0,,,,,84000.0,102426.0,82.010330903136,"[{""adm2_code"":17167,""adm2_name"":""Gros Morne""},{""adm2_code"":17168,""adm2_name"":""Gonaives""},{""adm2_code"":17169,""adm2_name"":""Marmelade""},{""adm2_code"":17170,""adm2_name"":""Saint-Marc""},{""adm2_code"":17171,""adm2_name"":""Ceca La Source""},{""adm2_code"":17172,""adm2_name"":""Hinche""},{""adm2_code"":17173,""adm2_name"":""Lascahobas""},{""adm2_code"":17174,""adm2_name"":""Mirebalais""},{""adm2_code"":17188,""adm2_name"":""Grande Riviere Du Nord""},{""adm2_code"":17189,""adm2_name"":""Acul Du Nord""},{""adm2_code"":17191,""adm2_name"":""Limbe""},{""adm2_code"":17193,""adm2_name"":""Saint-Raphael""},{""adm2_code"":17180,""adm2_name"":""Fort Liberte""},{""adm2_code"":17181,""adm2_name"":""Trou Du Nord""},{""adm2_code"":17182,""adm2_name"":""Ouanaminthe""},{""adm2_code"":17183,""adm2_name"":""Valliere""},{""adm2_code"":17184,""adm2_name"":""Mole Saint Nicolas""},{""adm2_code"":17185,""adm2_name"":""Port De Paix""},{""adm2_code"":17194,""adm2_name"":""Croix-Des-Bouquets""},{""adm2_code"":17196,""adm2_name"":""Gonave""},{""adm2_code"":17197,""adm2_name"":""Leogane""},{""adm2_code"":17202,""adm2_name"":""Aquin""},{""adm2_code"":17203,""adm2_name"":""Cayes""},{""adm2_code"":17204,""adm2_name"":""Chardonnieres""},{""adm2_code"":17205,""adm2_name"":""Coteaux""},{""adm2_code"":17206,""adm2_name"":""Port-Salut""},{""adm2_code"":17199,""adm2_name"":""Bainet""},{""adm2_code"":17200,""adm2_name"":""Belle Anse""},{""adm2_code"":17201,""adm2_name"":""Jacmel""},{""adm2_code"":17175,""adm2_name"":""Anse-D'Ainault""},{""adm2_code"":17176,""adm2_name"":""Corail""},{""adm2_code"":17177,""adm2_name"":""Jeremie""},{""adm2_code"":17179,""adm2_name"":""Miragoane""},{""adm2_code"":73607,""adm2_name"":""Baraderes""},{""adm2_code"":73608,""adm2_name"":""Anse-A-Veau""}]",2016-03-15,2023-09-25
2016-9065-SSD,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,SSD,South Sudan,Sub-Saharan Africa,Africa,"Western Bahr El Ghazal, Northern Bahr El Ghazal, Warab, Unity, Upper Nile, Jonglei, El Buheyrat, Western Equatoria, Central Equatoria, Eastern Equatoria provinces",,Famine,No,No,No,,,Km2,,,,2016,2.0,,2016,11.0,,,,3600000.0,,3600000.0,,,,,,,82.010330903136,"[{""adm1_code"":2746,""adm1_name"":""El Buheyrat""},{""adm1_code"":2747,""adm1_name"":""Unity""},{""adm1_code"":2748,""adm1_name"":""Central Equatoria""},{""adm1_code"":2750,""adm1_name"":""Eastern Equatoria""},{""adm1_code"":2751,""adm1_name"":""Jonglei""},{""adm1_code"":2754,""adm1_name"":""Northern Bahr El Ghazal""},{""adm1_code"":2765,""adm1_name"":""Warab""},{""adm1_code"":2766,""adm1_name"":""Western Bahr El Ghazal""},{""adm1_code"":2768,""adm1_name"":""Western Equatoria""},{""adm1_code"":37021,""adm1_name"":""Upper Nile""}]",2016-03-15,2023-09-25
2016-9119-TLS,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,TLS,Timor-Leste,South-eastern Asia,Asia,"Baucau, Lautem, Viqueque provinces","Lack of rain, El Nino",,No,No,No,,,Km2,,,,2016,4.0,,2016,4.0,,,,120000.0,,120000.0,,,,,,,82.010330903136,"[{""adm1_code"":2959,""adm1_name"":""Baucau""},{""adm1_code"":2964,""adm1_name"":""Lautem""},{""adm1_code"":2969,""adm1_name"":""Viqueque""}]",2016-04-20,2023-09-25
