Disaster Type,Magnitude,Magnitude Scale,Minimum Temperature,Maximum Temperature,Dew Point,Temperature,Wind Speed Min,Wind Speed Max,Wind Speed Mean,Wind Direction,Relative Humidity Min,Relative Humidity Max,Relative Humidity Mean,Weather Type,Precipitation,Cloud Cover,Sea Level Pressure,Precipitation Cover
Flood,51560.0,Km2,29.8,52.0,23.9,40.8,5.1,24.1,12.5,247.38,31.38,83.77,53.73,,0.0,8.7,1008.6,0.0
Flood,51560.0,Km2,35.5,53.7,24.1,43.8,4.8,17.3,10.6,266.92,31.74,68.67,46.82,,0.0,0.9,1013.9,0.0
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,5000.0,Km2,,,,,,,,,,,,,0.0,,,
Flood,1300.0,Km2,73.5,91.4,71.7,79.6,1.1,7.0,3.6,249.29,49.51,100.0,78.61,"Thunderstorm Without Precipitation, Sky Coverage Decreasing",0.0,75.7,1011.5,0.0
Flood,1300.0,Km2,73.5,89.7,72.1,79.4,0.0,13.9,4.8,237.06,55.33,94.11,79.58,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Decreasing",0.0,83.8,1010.8,0.0
Flood,1300.0,Km2,71.7,84.3,71.1,75.5,0.0,16.0,4.2,259.62,65.99,100.0,86.58,"Drizzle, Lightning Without Thunder, Light Drizzle, Thunderstorm, Rain, Thunderstorm Without Precipitation, Rain Showers, Light Rain",3.83,91.2,1011.3,4.17
Flood,1300.0,Km2,71.7,78.9,71.2,75.0,0.0,8.7,2.5,210.64,74.06,94.15,88.36,"Lightning Without Thunder, Rain, Thunderstorm Without Precipitation, Light Rain",0.02,93.3,1012.5,4.17
Flood,1300.0,Km2,71.7,91.5,70.9,79.1,0.0,15.8,3.7,207.26,43.66,100.0,79.3,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",0.03,73.8,1012.1,4.17
Flood,1300.0,Km2,73.5,87.9,72.1,78.2,0.1,6.9,3.1,193.28,55.33,99.68,83.04,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Decreasing",0.73,89.5,1013.1,8.33
Flood,1300.0,Km2,71.7,90.6,72.3,79.1,0.1,18.2,4.5,168.74,55.73,100.0,81.42,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain",0.16,70.7,1011.9,4.17
Flood,1300.0,Km2,71.7,89.7,71.7,79.0,0.1,6.9,3.9,249.18,49.42,100.0,80.38,"Thunderstorm Without Precipitation, Light Rain, Sky Coverage Decreasing",1.1,67.8,1012.8,4.17
Flood,1300.0,Km2,73.5,93.3,71.7,80.8,1.1,13.8,5.8,230.39,46.46,94.11,76.42,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",0.58,67.4,1011.4,4.17
Flood,1300.0,Km2,71.7,77.1,71.3,74.0,0.1,10.1,4.9,203.14,78.5,100.0,91.81,"Thunderstorm, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing",0.78,87.3,1013.4,4.35
Flood,1300.0,Km2,69.9,89.7,71.0,77.9,0.0,17.2,4.0,263.76,52.39,100.0,81.62,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",0.0,83.6,1012.2,0.0
Flood,1300.0,Km2,71.7,86.1,71.4,76.7,0.0,6.9,3.2,233.76,58.59,100.0,84.84,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",1.98,83.7,1012.8,13.04
Flood,1300.0,Km2,73.5,89.7,71.8,79.7,0.0,10.3,2.3,248.71,52.27,94.11,78.59,"Thunderstorm Without Precipitation, Sky Coverage Decreasing",0.0,77.0,1011.8,0.0
Flood,1300.0,Km2,71.7,77.0,72.6,74.7,0.1,9.2,3.5,184.67,83.64,100.0,93.09,"Lightning Without Thunder, Thunderstorm, Rain, Thunderstorm Without Precipitation, Rain Showers, Light Rain",0.72,84.7,1012.1,8.33
Flood,1300.0,Km2,71.7,86.1,71.8,76.4,0.0,12.7,4.0,216.0,58.66,100.0,86.97,"Mist, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Decreasing, Sky Unchanged",0.0,87.9,1011.8,0.0
Flood,57890.0,Km2,47.6,62.1,54.7,55.8,0.0,14.5,5.2,163.84,90.1,99.78,96.08,"Mist, Rain, Fog, Heavy Rain, Light Rain",1.06,90.4,1016.4,58.33
Flood,57890.0,Km2,62.1,64.4,60.5,62.9,7.2,16.9,10.8,193.04,86.21,96.27,92.12,"Mist, Rain, Heavy Rain, Light Rain",2.43,99.6,1013.3,95.83
Flood,57890.0,Km2,43.0,62.2,53.4,56.6,0.0,15.3,8.1,215.26,77.85,98.55,89.27,"Mist, Rain, Fog, Light Rain",0.75,85.2,1009.8,66.67
Flood,57890.0,Km2,44.0,52.2,45.3,47.1,0.0,12.9,3.6,182.2,85.11,98.98,93.58,"Mist, Rain, Thunderstorm, Fog, Rain Showers, Heavy Rain, Light Rain",0.45,92.0,1012.8,70.83
Flood,57890.0,Km2,39.7,53.0,41.9,46.6,0.2,11.2,5.5,187.54,63.33,98.14,84.42,,0.02,68.4,1018.6,16.67
Flood,57890.0,Km2,43.6,48.1,41.0,45.5,0.6,19.1,8.8,174.13,72.52,95.98,84.6,"Mist, Rain, Light Rain",0.81,97.6,1011.1,66.67
Flood,19960.0,Km2,,,,,,,,,,,,,0.0,,,
Flood,6890.0,Km2,76.2,80.1,75.8,78.6,0.0,21.9,9.8,230.0,84.55,96.22,91.15,"Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",0.02,86.6,,50.0
Flood,6890.0,Km2,76.8,83.3,76.1,79.8,4.7,12.8,6.7,210.0,84.16,92.35,88.67,"Rain Showers, Sky Coverage Increasing, Sky Unchanged",1.78,96.4,,100.0
Flood,6890.0,Km2,76.4,81.1,75.5,78.3,0.5,2.2,1.3,143.33,87.3,93.57,91.28,"Light Drizzle, Rain Showers, Sky Unchanged",1.27,73.6,,66.67
Flood,6890.0,Km2,74.5,83.6,75.1,79.7,0.0,11.4,4.6,160.0,75.83,97.24,86.31,"Thunderstorm, Rain Showers, Sky Coverage Increasing",3.21,79.1,,50.0
Flood,6890.0,Km2,76.7,85.3,75.4,80.7,0.0,4.7,1.5,160.0,74.85,95.28,84.35,Sky Coverage Decreasing,0.0,58.2,,25.0
Flood,6890.0,Km2,76.2,85.1,76.2,80.3,0.0,5.8,1.8,185.0,78.95,94.42,87.76,Lightning Without Thunder,0.0,64.1,,0.0
Flood,6890.0,Km2,75.7,85.1,75.1,79.5,0.0,5.8,2.1,115.0,70.21,95.38,87.2,"Lightning Without Thunder, Thunderstorm",0.09,75.0,,50.0
Flood,6890.0,Km2,75.9,82.6,75.2,79.8,0.0,13.9,4.3,50.0,77.6,94.81,86.3,"Thunderstorm Without Precipitation, Sky Coverage Increasing",0.31,71.8,,25.0
Flood,6890.0,Km2,75.8,83.1,75.3,79.5,0.0,11.4,5.8,63.33,78.24,93.88,87.48,"Lightning Without Thunder, Rain Showers, Sky Coverage Increasing",0.53,95.0,,50.0
Flood,6890.0,Km2,75.8,84.6,75.6,79.1,0.0,3.4,0.8,140.0,79.83,94.81,89.15,"Rain Showers, Sky Coverage Decreasing",0.09,71.6,,25.0
Flood,6890.0,Km2,74.3,84.8,75.7,80.6,0.0,12.8,4.6,115.0,75.58,96.9,85.65,,0.0,51.3,,0.0
Flood,6890.0,Km2,77.1,85.8,75.4,80.6,0.0,9.2,2.6,125.0,74.54,93.19,84.69,"Thunderstorm, Light Rain",0.01,86.4,,25.0
Flood,6890.0,Km2,76.7,85.3,76.0,80.4,0.0,6.9,2.7,93.33,77.24,96.55,86.92,"Rain Showers, Sky Unchanged",0.39,58.4,,25.0
Flood,6890.0,Km2,76.3,84.2,75.1,80.2,0.0,1.3,0.6,95.0,74.06,92.81,84.99,"Lightning Without Thunder, Sky Coverage Increasing",0.04,63.4,,25.0
Flood,6890.0,Km2,76.8,86.2,75.6,80.5,0.0,4.7,1.6,140.0,76.22,90.46,85.67,Lightning Without Thunder,0.0,61.4,,0.0
Flood,6890.0,Km2,76.7,85.1,75.7,79.9,0.0,2.5,0.8,250.0,74.43,94.51,87.62,,0.0,73.3,,0.0
Flood,6890.0,Km2,77.0,83.4,76.1,79.2,0.0,8.1,3.7,230.0,83.53,94.82,90.6,"Lightning Without Thunder, Rain, Rain Showers, Light Rain, Sky Unchanged",0.9,94.5,1011.8,50.0
Flood,6890.0,Km2,76.4,81.0,74.7,78.1,0.0,6.9,3.4,195.0,83.13,92.7,89.39,Sky Unchanged,0.0,54.1,,0.0
Flood,6890.0,Km2,75.1,83.9,74.9,79.8,0.0,5.8,4.1,106.67,75.8,95.5,85.33,Lightning Without Thunder,0.0,65.7,,0.0
Flood,6890.0,Km2,75.3,86.9,75.6,80.4,0.7,12.8,5.4,85.0,70.3,95.57,86.16,Rain Showers,0.0,50.2,,0.0
Flood,6890.0,Km2,75.7,85.4,76.1,80.4,0.7,6.9,3.3,105.0,77.52,96.42,87.11,Rain Showers,0.07,91.8,,50.0
Flood,6890.0,Km2,75.7,86.2,76.2,80.8,0.0,4.7,1.6,153.33,75.9,95.43,86.25,,0.25,57.7,,25.0
Flood,6890.0,Km2,76.5,81.4,76.0,78.5,0.0,11.4,6.9,230.0,86.29,96.81,92.16,"Rain Showers, Sky Coverage Increasing, Sky Unchanged",0.21,87.0,,75.0
Flood,6890.0,Km2,75.8,83.5,76.2,79.7,0.0,6.9,2.9,185.0,80.9,97.96,89.5,"Lightning Without Thunder, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",0.78,82.9,,100.0
Flood,6890.0,Km2,74.2,82.9,75.3,79.1,0.0,46.1,18.4,295.0,79.35,94.78,88.46,"Light Drizzle, Light Rain",0.84,78.4,,66.67
Flood,6890.0,Km2,76.0,83.3,76.2,79.5,0.0,11.4,7.2,50.0,83.2,97.3,89.83,"Rain Showers, Sky Unchanged",0.78,96.7,,100.0
Storm,,Kph,72.8,79.4,73.7,75.5,2.2,4.5,2.8,122.5,82.6,100.0,94.17,"Drizzle, Light Drizzle, Rain, Smoke Or Haze",0.0,95.0,,0.0
Storm,,Kph,74.6,78.9,74.0,76.3,0.0,4.5,2.2,180.0,89.3,97.03,92.82,Smoke Or Haze,0.0,32.5,1016.6,0.0
Storm,,Kph,71.9,87.9,73.0,79.0,0.0,4.5,2.2,237.14,61.76,98.79,83.27,Smoke Or Haze,0.0,11.3,,0.0
Storm,,Kph,69.9,96.0,67.5,80.5,0.0,4.5,1.7,180.0,27.28,91.15,70.21,Smoke Or Haze,0.0,12.5,,0.0
Flood,3680.0,Km2,75.3,89.7,76.8,83.5,0.0,11.4,5.1,132.67,66.59,94.76,81.07,"Thunderstorm, Thunderstorm Without Precipitation, Smoke Or Haze",0.0,61.2,1010.5,0.0
Flood,3680.0,Km2,77.1,89.7,76.3,83.8,0.0,6.9,3.6,166.0,65.8,94.19,78.86,Smoke Or Haze,0.0,76.9,1010.8,0.0
Flood,3680.0,Km2,77.1,89.7,76.6,83.1,0.0,6.9,2.7,156.0,66.39,94.19,81.36,"Precipitation In Vicinity, Thunderstorm, Thunderstorm Without Precipitation, Light Rain, Smoke Or Haze",0.39,90.6,1010.2,5.88
Flood,3680.0,Km2,76.2,89.7,77.2,83.5,0.0,11.2,4.6,150.0,66.59,100.0,81.95,"Thunderstorm, Thunderstorm Without Precipitation, Smoke Or Haze",0.02,71.1,1009.5,5.56
Flood,3680.0,Km2,77.1,89.7,76.6,83.6,0.0,9.2,3.8,199.0,62.73,94.19,80.31,"Light Rain, Smoke Or Haze",0.0,64.7,1008.9,0.0
Flood,3680.0,Km2,75.5,91.5,77.5,83.7,0.0,11.4,3.5,197.78,62.94,96.46,82.57,"Rain, Thunderstorm, Thunderstorm Without Precipitation, Light Rain, Smoke Or Haze",3.21,72.7,1008.7,20.0
Flood,3680.0,Km2,75.3,89.0,77.1,82.3,0.0,6.9,2.6,126.67,69.35,100.0,84.76,"Precipitation In Vicinity, Rain, Smoke Or Haze",0.0,91.2,1009.3,0.0
Flood,,Km2,65.9,73.7,67.9,70.0,2.2,20.1,11.9,187.92,86.82,96.95,93.2,"Mist, Rain Showers, Light Rain, Sky Coverage Increasing",0.02,91.7,1010.1,4.17
Flood,,Km2,65.4,72.2,66.9,69.0,2.2,26.8,14.1,210.83,86.84,95.75,93.18,"Mist, Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",0.47,75.8,1009.3,4.17
Flood,,Km2,66.3,72.6,68.2,69.5,2.2,17.9,10.5,155.0,91.81,98.16,95.7,"Mist, Fog, Light Rain, Sky Coverage Increasing",0.12,87.9,1009.3,4.17
Flood,,Km2,61.4,71.7,63.2,67.1,8.9,31.3,17.0,183.33,73.94,94.02,87.55,"Rain, Rain Showers, Light Rain, Sky Coverage Decreasing",1.26,93.3,1000.6,8.33
Flood,,Km2,61.8,70.1,60.5,65.9,2.2,20.1,13.1,207.08,75.05,92.62,82.95,"Mist, Rain, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",0.23,71.7,1005.6,8.33
Flood,,Km2,61.4,74.0,58.9,67.3,2.2,22.4,11.2,82.08,50.89,95.07,76.22,"Mist, Rain Showers, Light Rain, Sky Coverage Increasing",0.28,66.7,1015.0,8.33
Flood,,Km2,67.7,76.7,60.2,71.4,6.7,24.6,15.6,72.08,59.42,81.46,68.11,,0.0,59.5,1018.7,0.0
Flood,,Km2,68.3,76.4,61.3,71.3,4.5,22.4,12.6,77.2,54.44,84.0,71.21,,0.0,62.0,1016.7,0.0
Flood,,Km2,64.1,78.2,63.7,69.7,2.2,11.2,6.0,108.33,67.67,90.96,81.63,Mist,0.0,35.3,1014.2,0.0
Flood,,Km2,59.6,73.1,60.9,66.7,0.0,6.7,3.7,153.64,68.46,90.86,82.06,,0.0,47.0,1015.6,0.0
Flood,,Km2,60.9,73.1,62.2,67.3,0.0,6.7,3.9,117.22,63.87,100.0,84.28,,0.0,79.5,1016.3,0.0
Flood,,Km2,65.0,71.0,65.7,67.8,4.5,15.7,9.8,141.67,88.41,96.93,93.17,"Rain, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",0.9,90.8,1014.6,12.5
Flood,,Km2,65.4,73.5,66.5,69.1,2.2,13.4,5.8,168.64,81.19,95.76,91.71,"Rain, Thunderstorm Without Precipitation, Sky Coverage Increasing",0.08,53.3,1012.7,4.17
Flood,,Km2,65.0,71.9,66.2,68.4,4.5,15.7,11.5,111.67,84.17,96.94,92.7,"Mist, Thunderstorm, Rain Showers, Sky Coverage Decreasing",0.0,79.6,1016.3,0.0
Flood,,Km2,64.5,68.3,64.8,67.3,4.5,20.1,14.6,130.42,86.03,95.7,91.72,"Mist, Rain Showers, Light Rain, Sky Coverage Increasing",2.24,92.1,1019.3,12.5
Flood,,Km2,61.8,68.3,62.7,66.0,2.2,20.1,11.8,121.25,81.77,96.87,89.37,"Mist, Thunderstorm, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Unchanged",0.98,89.6,1018.8,8.33
Flood,,Km2,61.4,69.0,61.0,64.1,0.0,8.9,4.3,223.04,74.45,96.87,90.04,"Rain, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Increasing",0.67,77.5,1015.2,8.33
Flood,,Km2,57.8,69.5,59.1,63.5,0.0,8.9,4.2,268.1,68.29,96.21,85.96,,0.0,36.7,1019.0,0.0
Earthquake,4.7,Richter,33.2,66.8,25.9,48.8,2.2,8.9,3.6,208.75,16.99,77.4,46.1,,0.0,22.5,1009.9,0.0
Flood,,Km2,75.3,80.7,65.2,78.9,6.9,13.9,9.8,170.0,57.65,73.64,63.25,,0.0,87.5,1019.3,0.0
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,64.5,77.1,66.0,71.7,0.0,11.4,6.3,272.5,69.37,100.0,83.31,,0.0,73.3,1017.6,0.0
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,71.7,77.1,63.9,74.1,6.9,11.4,9.2,126.67,65.16,78.07,70.74,,0.0,90.0,1018.6,0.0
Flood,,Km2,62.7,75.3,63.3,69.2,3.4,8.1,5.1,133.33,69.17,93.89,82.32,Sky Coverage Decreasing,0.0,58.0,1018.4,0.0
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,60.9,82.5,63.1,74.4,0.0,9.2,4.5,165.71,52.9,100.0,69.6,,0.0,85.6,1015.6,0.0
Flood,,Km2,71.7,78.9,66.4,74.8,2.2,13.9,8.6,202.5,65.37,84.68,75.48,,0.0,90.0,1016.4,0.0
Flood,,Km2,64.5,77.1,64.6,71.3,0.0,11.4,5.2,198.33,64.94,100.0,80.48,,0.0,95.6,1017.2,0.0
Flood,,Km2,69.9,83.4,63.1,78.0,0.0,12.8,6.8,225.0,49.16,81.96,61.05,,0.0,88.6,1015.6,0.0
Flood,,Km2,77.1,79.8,65.5,78.4,13.9,16.1,15.0,340.0,59.99,69.37,64.68,,0.0,90.0,1012.9,0.0
Flood,,Km2,66.3,78.9,65.4,71.4,5.8,18.3,11.7,168.0,65.37,93.93,82.29,,0.0,90.0,1017.8,0.0
Flood,,Km2,77.1,80.7,65.7,79.5,4.7,13.9,8.9,180.0,61.62,65.16,62.8,,0.0,76.7,1018.3,0.0
